genre,x,y,hex_colour
belarusian electronic,1091,18632,#be8cb6
belarusian hip hop,986,12696,#ac8609
belarusian indie,591,13907,#b27c1d
belarusian metal,155,13991,#d35780
belarusian pop,756,14597,#ab871a
belarusian punk,540,13449,#cd6511
belarusian rock,586,14030,#bc7613
belfast indie,365,11963,#a18352
belfast metal,175,12257,#da5b3f
belgian black metal,45,10072,#cb4298
belgian blues,734,10107,#957d19
belgian classical piano,486,187,#1ba5d2
belgian contemporary classical,415,1656,#339ea2
belgian dance,953,18522,#ce7d80
belgian death metal,170,12503,#e14781
belgian dnb,1145,18102,#d77e7e
belgian edm,925,17746,#c5844e
belgian electronic,1026,17353,#a48d93
belgian experimental,465,6237,#638c9f
belgian hardcore,280,10022,#db554a
belgian hip hop,1067,10691,#988f08
belgian indie,526,12000,#918b30
belgian indie rock,421,12233,#a67b54
belgian jazz,790,2995,#4d9d83
belgian metal,181,12294,#dc4e5b
belgian modern jazz,719,5954,#6b9183
belgian new wave,751,16392,#af794b
belgian pop,788,13856,#988e16
belgian post-rock,336,10268,#868ea0
belgian punk,267,14842,#d5601e
belgian rock,599,12196,#998523
belgian singer-songwriter,744,4636,#6c9203
belgian stoner rock,193,11999,#c76458
belgian techno,1239,19187,#bf8ace
bells,293,1855,#4e81cb
belly dance,832,10169,#998248
belo horizonte indie,721,10095,#858f1b
bemani,163,5319,#3697c2
benga,970,11272,#a7830f
bengali folk,724,2968,#5e971c
beninese pop,972,10437,#9d871a
bergamo indie,500,12600,#b27d2a
bergen indie,547,12820,#a1852e
berlin minimal techno,1303,19123,#ae94b1
berlin school,369,9361,#6a96bd
bern indie,756,13053,#97873a
bernu dziesmas,897,10306,#739a24
bhajan,763,6509,#8d8607
bhangra,997,13372,#c4770c
bhojpuri pop,828,12600,#d96001
bhutanese pop,774,5755,#569f67
bible,1308,3195,#458600
big band,917,2664,#538869
big beat,843,17479,#bb7b72
big room,770,17757,#d27b56
bikutsi,997,11801,#ce7b10
binaural,106,4384,#4c25c7
birdsong,204,4510,#a800a9
birmingham grime,1024,10743,#b78412
birmingham hip hop,1045,9689,#a98213
birmingham indie,425,12883,#a9801e
birmingham metal,195,10994,#d14c4c
birthday,959,13397,#978605
bisaya indie,508,10454,#99881b
bisaya rap,1078,11371,#8c951e
bisrock,564,9434,#a4810c
bitpop,677,17137,#be8067
black 'n' roll,102,11142,#e23b78
black comedy,1067,3385,#9d4908
black death,76,9390,#df3591
black metal,81,10847,#da3d7f
black metal argentino,132,11902,#cd5380
black noise,29,8959,#b71ba8
black punk,393,11521,#cc5931
black sludge,147,9427,#bb6795
black speed metal,100,10896,#e93766
black thrash,148,11130,#e63769
blackened crust,46,9657,#df3386
blackened deathcore,139,13771,#e14574
blackened hardcore,90,10810,#d74c8a
blackgaze,92,10798,#b35f9f
blaskapelle,815,3726,#648d90
blasmusik,786,3107,#5c94a8
bleep techno,1060,17277,#a680ab
bloco,911,11422,#ba720e
bluegrass,858,5781,#6b9626
bluegrass fiddle,610,5880,#749871
bluegrass gospel,834,5856,#6d931d
blues,1007,3979,#698620
blues band,880,11104,#9c8045
blues latinoamericano,639,9986,#ab7d19
blues mexicano,686,8699,#8e8420
blues rock,783,7077,#967721
blues-rock guitar,838,9811,#a28115
bmore,1014,15674,#b17c33
bodo pop,758,13208,#a08d16
boeremusiek,819,10244,#94937c
bogor indie,409,14076,#be7834
bohemian baroque,336,1607,#24a866
bohol indie,607,12244,#968b0e
bolero,853,4548,#65930e
bolero cubano,885,3903,#6b8c0e
bolero mexicano,868,3777,#5a960c
